tournaments.RoundRobinTournament
AIs
	WorkerRush(AStarPathFinding)
	LightRush(AStarPathFinding)
	MonteCarlo(100,-1,100,-1, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	AgentP(AStarPathFinding)
	mayari
maps
	/home/olivarad/NetBeansProjects/MicroRTS/maps/16x16/basesWorkers16x16.xml
iterations	10
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	470	0	-1	-1
0	0	0	2	760	1	-1	-1
0	0	0	3	3000	-1	-1	-1
0	0	0	4	1215	1	-1	-1
0	0	1	0	835	1	-1	-1
0	0	1	2	443	0	-1	1
0	0	1	3	1004	1	-1	-1
0	0	1	4	1070	1	-1	-1
0	0	2	0	2145	1	-1	-1
0	0	2	1	395	1	-1	0
0	0	2	3	541	1	-1	0
0	0	2	4	590	1	-1	0
0	0	3	0	1445	1	-1	-1
0	0	3	1	896	0	-1	-1
0	0	3	2	507	0	-1	1
0	0	3	4	763	0	-1	-1
0	0	4	0	1185	0	-1	-1
0	0	4	1	1172	0	-1	-1
0	0	4	2	430	0	-1	1
0	0	4	3	1005	0	-1	-1
1	0	0	1	470	0	-1	-1
1	0	0	2	3000	-1	-1	-1
1	0	0	3	3000	-1	-1	-1
1	0	0	4	685	0	-1	-1
1	0	1	0	835	1	-1	-1
1	0	1	2	444	0	-1	1
1	0	1	3	1004	1	-1	-1
1	0	1	4	1070	1	-1	-1
1	0	2	0	1740	1	-1	-1
1	0	2	1	499	1	-1	0
1	0	2	3	1217	1	-1	-1
1	0	2	4	420	1	-1	0
1	0	3	0	1445	1	-1	-1
1	0	3	1	896	0	-1	-1
1	0	3	2	506	0	-1	1
1	0	3	4	1507	1	-1	-1
1	0	4	0	1035	0	-1	-1
1	0	4	1	1172	0	-1	-1
1	0	4	2	500	0	-1	1
1	0	4	3	1175	0	-1	-1
2	0	0	1	470	0	-1	-1
2	0	0	2	1885	1	-1	-1
2	0	0	3	3000	-1	-1	-1
2	0	0	4	1015	1	-1	-1
2	0	1	0	835	1	-1	-1
2	0	1	2	396	0	-1	1
2	0	1	3	1004	1	-1	-1
2	0	1	4	1070	1	-1	-1
2	0	2	0	1000	1	-1	-1
2	0	2	1	459	1	-1	0
2	0	2	3	872	1	-1	-1
2	0	2	4	430	1	-1	0
2	0	3	0	1445	1	-1	-1
2	0	3	1	896	0	-1	-1
2	0	3	2	975	0	-1	-1
2	0	3	4	815	0	-1	-1
2	0	4	0	910	0	-1	-1
2	0	4	1	1172	0	-1	-1
2	0	4	2	400	0	-1	1
2	0	4	3	1475	0	-1	-1
3	0	0	1	470	0	-1	-1
3	0	0	2	666	0	-1	1
3	0	0	3	3000	-1	-1	-1
3	0	0	4	655	0	-1	-1
3	0	1	0	835	1	-1	-1
3	0	1	2	459	0	-1	1
3	0	1	3	1004	1	-1	-1
3	0	1	4	1070	1	-1	-1
3	0	2	0	1195	1	-1	-1
3	0	2	1	443	1	-1	0
3	0	2	3	1014	1	-1	-1
3	0	2	4	490	1	-1	0
3	0	3	0	1445	1	-1	-1
3	0	3	1	896	0	-1	-1
3	0	3	2	1107	0	-1	-1
3	0	3	4	1809	1	-1	-1
3	0	4	0	910	0	-1	-1
3	0	4	1	1172	0	-1	-1
3	0	4	2	450	0	-1	1
3	0	4	3	876	0	-1	-1
4	0	0	1	470	0	-1	-1
4	0	0	2	1215	0	-1	-1
4	0	0	3	3000	-1	-1	-1
4	0	0	4	585	0	-1	-1
4	0	1	0	835	1	-1	-1
4	0	1	2	395	0	-1	1
4	0	1	3	1004	1	-1	-1
4	0	1	4	1070	1	-1	-1
4	0	2	0	866	1	-1	0
4	0	2	1	443	1	-1	0
4	0	2	3	1233	1	-1	-1
4	0	2	4	530	1	-1	0
4	0	3	0	1445	1	-1	-1
4	0	3	1	896	0	-1	-1
4	0	3	2	559	0	-1	1
4	0	3	4	1695	1	-1	-1
4	0	4	0	910	0	-1	-1
4	0	4	1	1172	0	-1	-1
4	0	4	2	460	0	-1	1
4	0	4	3	1505	0	-1	-1
5	0	0	1	470	0	-1	-1
5	0	0	2	1052	0	-1	1
5	0	0	3	3000	-1	-1	-1
5	0	0	4	1123	1	-1	-1
5	0	1	0	835	1	-1	-1
5	0	1	2	536	0	-1	1
5	0	1	3	1004	1	-1	-1
5	0	1	4	1070	1	-1	-1
5	0	2	0	836	0	-1	-1
5	0	2	1	467	1	-1	0
5	0	2	3	596	1	-1	0
5	0	2	4	500	1	-1	0
5	0	3	0	1445	1	-1	-1
5	0	3	1	896	0	-1	-1
5	0	3	2	1043	0	-1	-1
5	0	3	4	721	0	-1	-1
5	0	4	0	920	0	-1	-1
5	0	4	1	1172	0	-1	-1
5	0	4	2	600	0	-1	1
5	0	4	3	1519	0	-1	-1
6	0	0	1	470	0	-1	-1
6	0	0	2	0	0	-1	1
6	0	0	3	3000	-1	-1	-1
6	0	0	4	1145	1	-1	-1
6	0	1	0	835	1	-1	-1
6	0	1	2	479	0	-1	1
6	0	1	3	1004	1	-1	-1
6	0	1	4	1070	1	-1	-1
6	0	2	0	3000	-1	-1	-1
6	0	2	1	435	1	-1	0
6	0	2	3	491	1	-1	0
6	0	2	4	350	1	-1	0
6	0	3	0	1445	1	-1	-1
6	0	3	1	896	0	-1	-1
6	0	3	2	1370	0	-1	-1
6	0	3	4	762	0	-1	-1
6	0	4	0	945	0	-1	-1
6	0	4	1	1172	0	-1	-1
6	0	4	2	530	0	-1	1
6	0	4	3	1095	0	-1	-1
7	0	0	1	470	0	-1	-1
7	0	0	2	1375	0	-1	-1
7	0	0	3	3000	-1	-1	-1
7	0	0	4	1095	1	-1	-1
7	0	1	0	835	1	-1	-1
7	0	1	2	444	0	-1	1
7	0	1	3	1004	1	-1	-1
7	0	1	4	1070	1	-1	-1
7	0	2	0	656	1	-1	0
7	0	2	1	479	1	-1	0
7	0	2	3	1039	1	-1	-1
7	0	2	4	570	1	-1	0
7	0	3	0	1445	1	-1	-1
7	0	3	1	896	0	-1	-1
7	0	3	2	555	0	-1	1
7	0	3	4	1545	1	-1	-1
7	0	4	0	910	0	-1	-1
7	0	4	1	1172	0	-1	-1
7	0	4	2	450	0	-1	1
7	0	4	3	1525	0	-1	-1
8	0	0	1	470	0	-1	-1
8	0	0	2	1240	0	-1	-1
8	0	0	3	3000	-1	-1	-1
